id,name,year,np_rate
01,Alabama,2017,1
02,Alaska,2017,8
04,Arizona,2017,3
05,Arkansas,2017,1
06,California,2017,9
08,Colorado,2017,4
09,Connecticut,2017,0
10,Delaware,2017,0
11,District of Columbia,2017,0
12,Florida,2017,3
13,Georgia,2017,1
15,Hawaii,2017,2
16,Idaho,2017,2
17,Illinois,2017,1
18,Indiana,2017,1
19,Iowa,2017,0
20,Kansas,2017,0
21,Kentucky,2017,1
22,Louisiana,2017,0
23,Maine,2017,1
24,Maryland,2017,0
25,Massachusetts,2017,1
26,Michigan,2017,1
27,Minnesota,2017,2
28,Mississippi,2017,0
29,Missouri,2017,1
30,Montana,2017,2
31,Nebraska,2017,1
32,Nevada,2017,1
33,New Hampshire,2017,0
34,New Jersey,2017,0
35,New Mexico,2017,2
36,New York,2017,1
37,North Carolina,2017,1
38,North Dakota,2017,1
39,Ohio,2017,1
40,Oklahoma,2017,0
41,Oregon,2017,2
42,Pennsylvania,2017,1
44,Rhode Island,2017,0
45,South Carolina,2017,1
46,South Dakota,2017,2
47,Tennessee,2017,1
48,Texas,2017,2
49,Utah,2017,5
50,Vermont,2017,0
51,Virginia,2017,1
53,Washington,2017,3
54,West Virginia,2017,1
55,Wisconsin,2017,0
56,Wyoming,2017,2
